,id,longitude,latitude,time,smp
1,NASA_USDA_SMAP_SM20160103_20160105,-118.46532809326189,36.26947959632568,1451779200000.0,0.6882759928703308
2,NASA_USDA_SMAP_SM20160106_20160108,-118.46532809326189,36.26947959632568,1452038400000.0,0.7605994939804077
3,NASA_USDA_SMAP_SM20160109_20160111,-118.46532809326189,36.26947959632568,1452297600000.0,0.7803036570549011
4,NASA_USDA_SMAP_SM20160112_20160114,-118.46532809326189,36.26947959632568,1452556800000.0,0.7700872421264648
5,NASA_USDA_SMAP_SM20160115_20160117,-118.46532809326189,36.26947959632568,1452816000000.0,0.7786332368850708
6,NASA_USDA_SMAP_SM20160118_20160120,-118.46532809326189,36.26947959632568,1453075200000.0,0.8208365440368652
7,NASA_USDA_SMAP_SM20160121_20160123,-118.46532809326189,36.26947959632568,1453334400000.0,0.874220609664917
8,NASA_USDA_SMAP_SM20160124_20160126,-118.46532809326189,36.26947959632568,1453593600000.0,0.8886931538581848
9,NASA_USDA_SMAP_SM20160127_20160129,-118.46532809326189,36.26947959632568,1453852800000.0,0.8753243684768677
10,NASA_USDA_SMAP_SM20160130_20160201,-118.46532809326189,36.26947959632568,1454112000000.0,0.8884909749031067
11,NASA_USDA_SMAP_SM20160103_20160105,-118.68990691429177,36.49405841735556,1451779200000.0,0.9752392172813416
12,NASA_USDA_SMAP_SM20160106_20160108,-118.68990691429177,36.49405841735556,1452038400000.0,0.9889264702796936
13,NASA_USDA_SMAP_SM20160109_20160111,-118.68990691429177,36.49405841735556,1452297600000.0,0.987671434879303
14,NASA_USDA_SMAP_SM20160112_20160114,-118.68990691429177,36.49405841735556,1452556800000.0,0.9877247214317322
15,NASA_USDA_SMAP_SM20160115_20160117,-118.68990691429177,36.49405841735556,1452816000000.0,0.9904423356056213
16,NASA_USDA_SMAP_SM20160118_20160120,-118.68990691429177,36.49405841735556,1453075200000.0,0.9938855767250061
17,NASA_USDA_SMAP_SM20160121_20160123,-118.68990691429177,36.49405841735556,1453334400000.0,0.9951539039611816
18,NASA_USDA_SMAP_SM20160124_20160126,-118.68990691429177,36.49405841735556,1453593600000.0,0.9983859658241272
19,NASA_USDA_SMAP_SM20160127_20160129,-118.68990691429177,36.49405841735556,1453852800000.0,0.994809627532959
20,NASA_USDA_SMAP_SM20160130_20160201,-118.68990691429177,36.49405841735556,1454112000000.0,0.9898672103881836
21,NASA_USDA_SMAP_SM20160103_20160105,-118.46532809326189,36.49405841735556,1451779200000.0,0.6882759928703308
22,NASA_USDA_SMAP_SM20160106_20160108,-118.46532809326189,36.49405841735556,1452038400000.0,0.7605994939804077
23,NASA_USDA_SMAP_SM20160109_20160111,-118.46532809326189,36.49405841735556,1452297600000.0,0.7803036570549011
24,NASA_USDA_SMAP_SM20160112_20160114,-118.46532809326189,36.49405841735556,1452556800000.0,0.7700872421264648
25,NASA_USDA_SMAP_SM20160115_20160117,-118.46532809326189,36.49405841735556,1452816000000.0,0.7786332368850708
26,NASA_USDA_SMAP_SM20160118_20160120,-118.46532809326189,36.49405841735556,1453075200000.0,0.8208365440368652
27,NASA_USDA_SMAP_SM20160121_20160123,-118.46532809326189,36.49405841735556,1453334400000.0,0.874220609664917
28,NASA_USDA_SMAP_SM20160124_20160126,-118.46532809326189,36.49405841735556,1453593600000.0,0.8886931538581848
29,NASA_USDA_SMAP_SM20160127_20160129,-118.46532809326189,36.49405841735556,1453852800000.0,0.8753243684768677
30,NASA_USDA_SMAP_SM20160130_20160201,-118.46532809326189,36.49405841735556,1454112000000.0,0.8884909749031067
31,NASA_USDA_SMAP_SM20160103_20160105,-118.24074927223201,36.49405841735556,1451779200000.0,0.3511587083339691
32,NASA_USDA_SMAP_SM20160106_20160108,-118.24074927223201,36.49405841735556,1452038400000.0,0.45264509320259094
33,NASA_USDA_SMAP_SM20160109_20160111,-118.24074927223201,36.49405841735556,1452297600000.0,0.46625953912734985
34,NASA_USDA_SMAP_SM20160112_20160114,-118.24074927223201,36.49405841735556,1452556800000.0,0.45504534244537354
35,NASA_USDA_SMAP_SM20160115_20160117,-118.24074927223201,36.49405841735556,1452816000000.0,0.445820689201355
36,NASA_USDA_SMAP_SM20160118_20160120,-118.24074927223201,36.49405841735556,1453075200000.0,0.47042787075042725
37,NASA_USDA_SMAP_SM20160121_20160123,-118.24074927223201,36.49405841735556,1453334400000.0,0.5147961974143982
38,NASA_USDA_SMAP_SM20160124_20160126,-118.24074927223201,36.49405841735556,1453593600000.0,0.4997101426124573
39,NASA_USDA_SMAP_SM20160127_20160129,-118.24074927223201,36.49405841735556,1453852800000.0,0.48663824796676636
40,NASA_USDA_SMAP_SM20160130_20160201,-118.24074927223201,36.49405841735556,1454112000000.0,0.5143173336982727
41,NASA_USDA_SMAP_SM20160103_20160105,-118.46532809326189,36.71863723838544,1451779200000.0,0.7799086570739746
42,NASA_USDA_SMAP_SM20160106_20160108,-118.46532809326189,36.71863723838544,1452038400000.0,0.8247441053390503
43,NASA_USDA_SMAP_SM20160109_20160111,-118.46532809326189,36.71863723838544,1452297600000.0,0.8342658877372742
44,NASA_USDA_SMAP_SM20160112_20160114,-118.46532809326189,36.71863723838544,1452556800000.0,0.8197052478790283
45,NASA_USDA_SMAP_SM20160115_20160117,-118.46532809326189,36.71863723838544,1452816000000.0,0.8198696970939636
46,NASA_USDA_SMAP_SM20160118_20160120,-118.46532809326189,36.71863723838544,1453075200000.0,0.8445376753807068
47,NASA_USDA_SMAP_SM20160121_20160123,-118.46532809326189,36.71863723838544,1453334400000.0,0.8820450305938721
